Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AML-F-28_S28_L001_R1_001	11.189438007114788	51.0	151.0	18.181818181818183	107101.0
AML-F-28_S28_L001_R2_001	87.51085424038992	51.0	151.0	27.27272727272727	107101.0
AML-F-29_S29_L001_R1_001	8.715346693130172	51.0	151.0	18.181818181818183	62476.0
AML-F-29_S29_L001_R2_001	85.56405659773353	50.0	151.0	27.27272727272727	62476.0
AML-F-30_S30_L001_R1_001	14.784954769084266	50.0	151.0	18.181818181818183	31505.0
AML-F-30_S30_L001_R2_001	85.08490715759403	50.0	151.0	18.181818181818183	31505.0
AML-F-31_S31_L001_R1_001	6.776245508400507	52.0	151.0	18.181818181818183	41188.0
AML-F-31_S31_L001_R2_001	85.01990871127514	51.0	151.0	36.36363636363637	41188.0
AML-F-32_S32_L001_R1_001	0.49228749589759957	52.0	151.0	27.27272727272727	3047.0
AML-F-32_S32_L001_R2_001	71.93961273383655	51.0	151.0	54.54545454545454	3047.0
AML-F-33_S33_L001_R1_001	1.1920529801324449	53.0	151.0	27.27272727272727	6795.0
AML-F-33_S33_L001_R2_001	76.67402501839588	53.0	151.0	54.54545454545454	6795.0
AML-F-34_S34_L001_R1_001	1.2211668928086965	53.0	151.0	27.27272727272727	5159.0
AML-F-34_S34_L001_R2_001	76.83659623958131	53.0	151.0	54.54545454545454	5159.0
AML-F-35_S35_L001_R1_001	1.1857707509881408	53.0	151.0	27.27272727272727	7590.0
AML-F-35_S35_L001_R2_001	77.82608695652173	53.0	151.0	45.45454545454545	7590.0
AML-F-36_S36_L001_R1_001	2.019036631093158	53.0	151.0	27.27272727272727	13868.0
AML-F-36_S36_L001_R2_001	80.31439284684166	53.0	151.0	54.54545454545454	13868.0
AML-F-37_S37_L001_R1_001	2.707622298065985	53.0	151.0	27.27272727272727	4395.0
AML-F-37_S37_L001_R2_001	76.10921501706486	53.0	151.0	54.54545454545454	4395.0
AML-F-38_S38_L001_R1_001	1.25	53.0	151.0	27.27272727272727	2960.0
AML-F-38_S38_L001_R2_001	70.54054054054055	53.0	151.0	54.54545454545454	2960.0
AML-F-39_S39_L001_R1_001	2.0088105726872243	52.0	151.0	27.27272727272727	11350.0
AML-F-39_S39_L001_R2_001	78.29074889867842	52.0	151.0	45.45454545454545	11350.0
AML-F-40_S40_L001_R1_001	1.2720286206439653	53.0	151.0	27.27272727272727	7547.0
AML-F-40_S40_L001_R2_001	79.35603551079899	53.0	151.0	45.45454545454545	7547.0
AML-F-41_S41_L001_R1_001	11.535501250721566	52.0	151.0	36.36363636363637	10394.0
AML-F-41_S41_L001_R2_001	81.49894169713296	52.0	151.0	54.54545454545454	10394.0
AML-F-42_S42_L001_R1_001	0.8711247758134846	53.0	151.0	27.27272727272727	7806.0
AML-F-42_S42_L001_R2_001	78.77273891878042	52.0	151.0	45.45454545454545	7806.0
AML-F-43_S43_L001_R1_001	0.9576116039994389	53.0	151.0	27.27272727272727	7101.0
AML-F-43_S43_L001_R2_001	79.32685537248275	53.0	151.0	54.54545454545454	7101.0
AML-F-44_S44_L001_R1_001	1.1971409457413529	54.0	151.0	18.181818181818183	28401.0
AML-F-44_S44_L001_R2_001	83.52874898771171	54.0	151.0	45.45454545454545	28401.0
AML-F-45_S45_L001_R1_001	1.3165537270087242	53.0	151.0	27.27272727272727	5165.0
AML-F-45_S45_L001_R2_001	78.1026137463698	52.0	151.0	54.54545454545454	5165.0
AML-F-46_S46_L001_R1_001	1.7796340854405912	52.0	151.0	27.27272727272727	22027.0
AML-F-46_S46_L001_R2_001	81.91310664184864	52.0	151.0	54.54545454545454	22027.0
AML-F-47_S47_L001_R1_001	2.1136161376446125	52.0	151.0	18.181818181818183	26968.0
AML-F-47_S47_L001_R2_001	81.95268466330465	52.0	151.0	45.45454545454545	26968.0
AML-F-48_S48_L001_R1_001	1.602814698983579	52.0	151.0	27.27272727272727	7674.0
AML-F-48_S48_L001_R2_001	77.72999739379723	52.0	151.0	54.54545454545454	7674.0
